start,end,count,reverse
Castro Street and El Camino Real,San Antonio Shopping Center,4,3
Washington at Kearney,Embarcadero at Folsom,95,94
Golden Gate at Polk,Golden Gate at Polk,61,61
Market at 10th,2nd at South Park,71,67
7th at Market,Howard at Beale,66,91
"SF Caltrain, Townsend at 4th ",SF Ferry Building,782,598
Arena Green / SAP Center,Paseo de San Antonio,19,12
Townsend at 7th,Market at Battery,15,33
San Pedro Square,San Salvador at 1st,26,35
Embarcadero at Folsom,2nd at South Park,91,67
7th at Market,Beale at Market,39,42
Grant at Columbus,2nd at South Park,58,50
5th at Howard,Market at Sansome,136,140
Embarcadero at Sansome,SF Caltrain at 330 Townsend,100,55
Market at Battery,Embarcadero at Folsom,57,74
Spear at Folsom,Howard at 2nd,82,64
Howard at Beale,Howard at 2nd,133,34
Franklin at Maple,San Mateo County Center,1,0
SF Caltrain at 330 Townsend,Market at Sansome,181,299
San Salvador at 1st,SJSU 4th at San Carlos,43,34
2nd at South Park,Howard at 2nd,236,317
Broadway St at Battery St,SF Caltrain at 330 Townsend,1,4
Golden Gate at Polk,2nd at Folsom,4,6
Adobe on Almaden,Rengstorff at California,1,0
Davis at Jackson,Commercial at Montgomery,66,178
Arena Green / SAP Center,MLK Library,2,8
Park at Olive,California Ave Caltrain Station,22,27
7th at Market,Washington at Kearney,27,18
Washington at Kearney,Market at Battery,40,71
Park at Olive,San Antonio Caltrain Station,19,10
MLK Library,SJ Diridon Caltrain,60,120
Market at 10th,Powell at Post (Union Square),84,146
Market at Sansome,Steuart at Market,203,85
San Jose Government Center,Japantown,9,11
SF Ferry Building,Post at Kearney,148,158
Beale at Market,"SF Caltrain, Townsend at 4th ",342,197
"SF Caltrain, Townsend at 4th ",Howard at 2nd,427,443
Market at Sansome,Market at Battery,33,46
Steuart at Market,Market at 10th,62,119
Commercial at Montgomery,SF Ferry Building,220,218
SF Caltrain at 330 Townsend,Post at Kearney,61,84
5th at Howard,Howard at Beale,96,238
California Ave Caltrain Station,University and Emerson,73,46
Beale at Market,Market at Sansome,38,73
Beale at Market,Golden Gate at Polk,29,51
Golden Gate at Polk,Steuart at Market,70,40
SJSU 4th at San Carlos,Arena Green / SAP Center,2,6
Post at Kearney,Grant at Columbus,150,106
South Van Ness at Market,SF Ferry Building,58,56
Spear at Folsom,2nd at South Park,156,130
2nd at Townsend,Post at Kearney,114,89
Clay at Battery,Howard at Beale,207,188
SF Ferry Building,Howard at Beale,136,179
SF Caltrain at 330 Townsend,3rd at Howard,109,226
Cowper at University,Broadway at Main,3,0
Cowper at University,California Ave Caltrain Station,37,20
Howard at 2nd,5th at Howard,127,50
Adobe on Almaden,SJ Diridon Caltrain,180,175
Market at 10th,South Van Ness at Market,88,97
Washington at Kearney,SF Caltrain at 330 Townsend,51,46
2nd at Townsend,Market at 4th,92,123
SJSU 4th at San Carlos,San Jose Civic Center,7,5
2nd at Townsend,"SF Caltrain, Townsend at 4th ",266,306
Post at Kearney,5th at Howard,58,50
7th at Market,SF Caltrain at 330 Townsend,46,116
SF Ferry Building,2nd at Townsend,710,757
Powell at Post (Union Square),7th at Market,67,60
Howard at 2nd,Market at 4th,107,90
SF Caltrain at 330 Townsend,Howard at Beale,112,345
Powell Street BART,Embarcadero at Folsom,27,46
2nd at Townsend,7th at Market,21,26
SF Ferry Building,2nd at South Park,167,274
Powell Street BART,Market at 4th,70,63
Embarcadero at Sansome,Market at Battery,175,143
2nd at Folsom,Market at Battery,38,19
Commercial at Montgomery,Howard at 2nd,73,47
Post at Kearney,Davis at Jackson,41,43
Embarcadero at Bryant,"SF Caltrain, Townsend at 4th ",430,394
Beale at Market,Embarcadero at Folsom,55,18
Mountain View Caltrain,SJ Diridon Caltrain,1,0
San Jose Civic Center,SJ Diridon Caltrain,81,74
5th at Howard,Howard at 2nd,50,127
Powell at Post (Union Square),Commercial at Montgomery,34,61
Rengstorff at California,Park at Olive,4,3
Post at Kearney,San Francisco City Hall,54,74
South Van Ness at Market,Steuart at Market,94,48
Grant at Columbus,Grant at Columbus,158,158
Golden Gate at Polk,Beale at Market,51,29
Embarcadero at Bryant,Clay at Battery,136,59
Clay at Battery,South Van Ness at Market,31,34
Powell Street BART,University and Emerson,1,0
San Jose City Hall,Japantown,38,42
Park at Olive,Rengstorff at California,3,4
SF Caltrain at 330 Townsend,Embarcadero at Folsom,118,284
Howard at 2nd,Commercial at Montgomery,47,73
SJSU - San Salvador at 9th,San Jose City Hall,24,0
Embarcadero at Vallejo,Embarcadero at Sansome,316,198
Embarcadero at Folsom,Clay at Battery,20,61
Market at 4th,Golden Gate at Polk,73,125
Broadway St at Battery St,Embarcadero at Vallejo,1,5
Market at Battery,Howard at 2nd,27,21
Embarcadero at Sansome,2nd at Folsom,35,64
San Salvador at 1st,Adobe on Almaden,4,4
Santa Clara at Almaden,Paseo de San Antonio,31,27
Davis at Jackson,2nd at South Park,37,35
3rd at Howard,Powell Street BART,45,35
Market at 10th,SF Ferry Building,84,46
Beale at Market,Townsend at 7th,97,117
Clay at Battery,Davis at Jackson,42,29
Franklin at Maple,Franklin at Maple,23,23
Howard at 2nd,Grant at Columbus,53,52
Embarcadero at Folsom,Embarcadero at Bryant,163,117
Rengstorff at California,San Antonio Shopping Center,1,1
Redwood City Public Library,Franklin at Maple,7,8
2nd at Townsend,Washington at Kearney,27,16
Embarcadero at Vallejo,"SF Caltrain, Townsend at 4th ",180,195
SF Caltrain at 330 Townsend,2nd at Townsend,109,141
Townsend at 7th,Post at Kearney,81,55
Embarcadero at Vallejo,3rd at Howard,34,31
3rd at Howard,San Francisco City Hall,20,15
Golden Gate at Polk,Howard at 2nd,19,30
Howard at 2nd,3rd at Howard,57,20
Commercial at Montgomery,Commercial at Montgomery,78,78
Embarcadero at Folsom,Embarcadero at Vallejo,61,51
"SF Caltrain, Townsend at 4th ",Powell Street BART,192,320
South Van Ness at Market,Embarcadero at Folsom,43,23
"SF Caltrain, Townsend at 4th ",Beale at Market,197,342
Santa Clara at Almaden,San Salvador at 1st,11,12
3rd at Howard,Grant at Columbus,69,56
Golden Gate at Polk,San Francisco City Hall,24,21
St James Park,San Pedro Square,55,40
SF Caltrain at 330 Townsend,Broadway St at Battery St,4,1
Embarcadero at Sansome,Post at Kearney,99,114
Clay at Battery,2nd at South Park,38,45
Japantown,Japantown,90,90
Steuart at Market,Spear at Folsom,227,130
Grant at Columbus,SF Caltrain at 330 Townsend,99,18
Market at Sansome,Howard at 2nd,51,143
Broadway St at Battery St,Market at 4th,9,2
Mountain View Caltrain,University and Emerson,1,2
Steuart at Market,Embarcadero at Sansome,717,811
2nd at Townsend,Grant at Columbus,28,81
2nd at South Park,"SF Caltrain, Townsend at 4th ",346,288
Cowper at University,Park at Olive,13,14
Palo Alto Caltrain Station,Redwood City Public Library,2,0
Townsend at 7th,Powell Street BART,188,183
South Van Ness at Market,Market at 4th,285,252
Golden Gate at Polk,"SF Caltrain, Townsend at 4th ",231,126
SF Caltrain at 330 Townsend,Powell Street BART,521,370
Redwood City Caltrain Station,San Antonio Caltrain Station,1,1
Townsend at 7th,2nd at Townsend,230,167
Grant at Columbus,Powell Street BART,130,61
"SF Caltrain, Townsend at 4th ",Market at Sansome,480,448
Howard at Beale,Clay at Battery,188,207
Davis at Jackson,Market at 10th,18,25
Market at 4th,2nd at Folsom,132,149
2nd at South Park,Clay at Battery,45,38
Market at 10th,Commercial at Montgomery,45,28
Spear at Folsom,Embarcadero at Sansome,132,171
Powell Street BART,2nd at South Park,40,80
5th at Howard,Powell Street BART,82,72
Post at Kearney,2nd at Folsom,81,94
Townsend at 7th,5th at Howard,96,104
Market at Sansome,2nd at Folsom,235,537
Grant at Columbus,San Francisco City Hall,16,24
Post at Kearney,SF Caltrain at 330 Townsend,84,61
SF Caltrain at 330 Townsend,Commercial at Montgomery,42,34
Santa Clara at Almaden,San Pedro Square,20,19
Arena Green / SAP Center,San Pedro Square,66,33
SF Ferry Building,"SF Caltrain, Townsend at 4th ",598,782
2nd at Folsom,Steuart at Market,102,40
2nd at Townsend,Davis at Jackson,44,70
Market at 4th,Howard at 2nd,90,107
San Francisco City Hall,Embarcadero at Sansome,30,15
South Van Ness at Market,5th at Howard,110,112
Davis at Jackson,2nd at Townsend,70,44
San Francisco City Hall,Embarcadero at Folsom,1,3
Steuart at Market,Powell Street BART,69,88
2nd at Townsend,SF Ferry Building,757,710
5th at Howard,Golden Gate at Polk,29,49
Embarcadero at Sansome,Market at 4th,312,311
Embarcadero at Sansome,Townsend at 7th,22,26
Market at Battery,2nd at South Park,41,51
2nd at South Park,5th at Howard,147,76
Steuart at Market,Townsend at 7th,65,44
Spear at Folsom,Market at 10th,32,38
Powell at Post (Union Square),San Francisco City Hall,31,37
SF Caltrain at 330 Townsend,University and Emerson,2,0
Embarcadero at Bryant,Davis at Jackson,57,47
San Jose Civic Center,Japantown,9,17
Golden Gate at Polk,3rd at Howard,55,30
5th at Howard,2nd at South Park,76,147
Golden Gate at Polk,5th at Howard,49,29
"SF Caltrain, Townsend at 4th ",Embarcadero at Sansome,309,277
San Salvador at 1st,Santa Clara at Almaden,12,11
Market at 10th,Embarcadero at Bryant,13,9
Market at 10th,Steuart at Market,119,62
San Antonio Caltrain Station,California Ave Caltrain Station,16,29
Washington at Kearney,7th at Market,18,27
San Jose Civic Center,Adobe on Almaden,16,24
Broadway St at Battery St,Embarcadero at Bryant,4,4
Market at Battery,Howard at Beale,164,78
Beale at Market,Market at Battery,16,17
Japantown,Adobe on Almaden,7,6
Embarcadero at Bryant,Market at Sansome,75,78
Post at Kearney,Market at Battery,27,40
SJSU 4th at San Carlos,MLK Library,30,27
Redwood City Medical Center,Redwood City Medical Center,5,5
Washington at Kearney,Embarcadero at Sansome,108,100
"SF Caltrain, Townsend at 4th ",Washington at Kearney,29,41
Santa Clara at Almaden,St James Park,5,5
San Francisco City Hall,Market at Sansome,56,49
Embarcadero at Vallejo,2nd at Townsend,158,155
Adobe on Almaden,San Pedro Square,13,5
Howard at Beale,Washington at Kearney,134,97
Mountain View Caltrain,Evelyn Park and Ride,159,154
SF Caltrain at 330 Townsend,5th at Howard,484,129
San Francisco City Hall,SF Caltrain at 330 Townsend,49,24
2nd at Townsend,Commercial at Montgomery,40,30
Market at Battery,Clay at Battery,39,117
SJSU 4th at San Carlos,Japantown,20,18
San Francisco City Hall,San Francisco City Hall,96,96
Washington at Kearney,2nd at Folsom,11,37
Grant at Columbus,Broadway St at Battery St,5,1
3rd at Howard,Embarcadero at Folsom,52,64
2nd at Folsom,Powell at Post (Union Square),50,79
San Salvador at 1st,San Jose City Hall,42,197
San Jose Civic Center,Arena Green / SAP Center,15,7
Spear at Folsom,Post at Kearney,68,93
Japantown,St James Park,20,28
Redwood City Medical Center,San Mateo County Center,21,22
Embarcadero at Bryant,Powell at Post (Union Square),19,21
Powell at Post (Union Square),Golden Gate at Polk,53,32
Mountain View City Hall,University and Emerson,1,1
Beale at Market,Washington at Kearney,35,58
Market at Sansome,Beale at Market,73,38
Post at Kearney,Post at Kearney,59,59
Palo Alto Caltrain Station,Palo Alto Caltrain Station,88,88
7th at Market,Golden Gate at Polk,116,103
2nd at Folsom,Howard at 2nd,77,26
Spear at Folsom,Clay at Battery,55,56
5th at Howard,2nd at Folsom,63,93
Howard at Beale,Embarcadero at Folsom,23,17
Steuart at Market,Market at 4th,144,190
Howard at Beale,3rd at Howard,124,56
Beale at Market,Embarcadero at Vallejo,170,188
Redwood City Caltrain Station,Broadway at Main,7,5
2nd at South Park,Davis at Jackson,35,37
Castro Street and El Camino Real,Rengstorff at California,1,0
Davis at Jackson,Spear at Folsom,114,82
Howard at Beale,Market at Battery,78,164
San Salvador at 1st,SJ Diridon Caltrain,79,72
3rd at Howard,Broadway St at Battery St,2,1
3rd at Howard,Howard at Beale,56,124
SF Caltrain at 330 Townsend,Clay at Battery,43,54
2nd at Townsend,Embarcadero at Bryant,101,152
3rd at Howard,Howard at 2nd,20,57
SF Caltrain at 330 Townsend,Market at 4th,108,223
Embarcadero at Folsom,2nd at Townsend,221,190
Mountain View City Hall,Evelyn Park and Ride,12,12
Post at Kearney,SF Ferry Building,158,148
SF Caltrain at 330 Townsend,2nd at Folsom,125,181
Embarcadero at Sansome,Howard at Beale,287,238
Market at 10th,Market at Battery,117,142
Steuart at Market,5th at Howard,42,84
Beale at Market,Market at 4th,121,114
Market at Sansome,7th at Market,128,141
Market at Battery,5th at Howard,66,52
Paseo de San Antonio,SJSU 4th at San Carlos,23,23
MLK Library,San Jose Civic Center,21,23
San Jose Civic Center,St James Park,8,12
Beale at Market,Market at 10th,51,56
Embarcadero at Vallejo,Davis at Jackson,48,46
San Mateo County Center,San Mateo County Center,20,20
Post at Kearney,Embarcadero at Bryant,27,29
SF Caltrain at 330 Townsend,SF Caltrain at 330 Townsend,79,79
Powell Street BART,Market at 10th,396,285
2nd at Townsend,SF Caltrain at 330 Townsend,141,109
Clay at Battery,SF Caltrain at 330 Townsend,54,43
Market at Battery,7th at Market,120,29
Japantown,Arena Green / SAP Center,15,11
San Jose City Hall,St James Park,15,17
South Van Ness at Market,South Van Ness at Market,116,116
Howard at 2nd,Market at 10th,49,52
San Salvador at 1st,St James Park,7,15
Market at Sansome,Embarcadero at Sansome,379,210
Embarcadero at Sansome,Steuart at Market,811,717
Market at Sansome,Market at 4th,164,164
Townsend at 7th,Market at 10th,75,107
Market at Battery,SF Ferry Building,154,161
Spear at Folsom,SF Ferry Building,176,148
"SF Caltrain, Townsend at 4th ",7th at Market,140,221
Beale at Market,Howard at Beale,188,81
Market at Sansome,SF Caltrain at 330 Townsend,299,181
SJ Diridon Caltrain,Japantown,103,20
Post at Kearney,South Van Ness at Market,119,117
Embarcadero at Sansome,Market at Sansome,210,379
SF Ferry Building,Commercial at Montgomery,218,220
Washington at Kearney,San Francisco City Hall,15,9
2nd at Folsom,Market at 4th,149,132
Steuart at Market,Howard at 2nd,178,163
Beale at Market,SF Caltrain at 330 Townsend,136,97
SF Caltrain at 330 Townsend,Davis at Jackson,41,62
Powell at Post (Union Square),SF Ferry Building,153,152
3rd at Howard,Beale at Market,34,27
Embarcadero at Folsom,San Francisco City Hall,3,1
Clay at Battery,Golden Gate at Polk,21,13
Palo Alto Caltrain Station,San Antonio Caltrain Station,12,4
2nd at Townsend,2nd at Townsend,183,183
Palo Alto Caltrain Station,Cowper at University,149,138
University and Emerson,San Antonio Caltrain Station,8,5
Davis at Jackson,SF Caltrain at 330 Townsend,62,41
San Pedro Square,Adobe on Almaden,5,13
2nd at South Park,Washington at Kearney,74,24
San Mateo County Center,Redwood City Caltrain Station,34,41
Howard at Beale,2nd at South Park,211,217
St James Park,SJSU - San Salvador at 9th,7,0
Commercial at Montgomery,Embarcadero at Vallejo,10,18
Powell Street BART,San Francisco City Hall,123,99
5th at Howard,3rd at Howard,37,99
2nd at South Park,2nd at Townsend,77,75
Post at Kearney,Washington at Kearney,186,37
Paseo de San Antonio,MLK Library,53,46
"SF Caltrain, Townsend at 4th ",South Van Ness at Market,153,245
Embarcadero at Sansome,"SF Caltrain, Townsend at 4th ",277,309
SJSU - San Salvador at 9th,San Jose Government Center,1,0
Howard at 2nd,Post at Kearney,60,66
2nd at Folsom,Market at 10th,24,35
MLK Library,SJSU - San Salvador at 9th,90,0
Washington at Kearney,South Van Ness at Market,16,37
Embarcadero at Vallejo,Townsend at 7th,28,44
Rengstorff at California,Mountain View City Hall,40,33
Franklin at Maple,Redwood City Medical Center,1,1
SJSU - San Salvador at 9th,Paseo de San Antonio,65,0
California Ave Caltrain Station,San Antonio Shopping Center,1,5
Clay at Battery,Steuart at Market,41,46
San Jose City Hall,San Pedro Square,35,32
Japantown,Santa Clara at Almaden,48,7
3rd at Howard,2nd at Folsom,37,59
Spear at Folsom,2nd at Folsom,137,241
SJ Diridon Caltrain,Rengstorff at California,1,0
Market at 10th,Howard at Beale,52,129
Market at 4th,Embarcadero at Vallejo,89,85
San Jose City Hall,Paseo de San Antonio,56,34
SF Caltrain at 330 Townsend,"SF Caltrain, Townsend at 4th ",37,26
2nd at South Park,South Van Ness at Market,61,125
5th at Howard,"SF Caltrain, Townsend at 4th ",512,248
University and Emerson,Mountain View City Hall,1,1
SJSU 4th at San Carlos,St James Park,23,20
Cowper at University,University and Emerson,110,46
Redwood City Medical Center,Redwood City Caltrain Station,83,141
Paseo de San Antonio,San Jose Government Center,2,1
Market at 4th,Powell at Post (Union Square),44,52
Grant at Columbus,Market at 4th,187,126
Spear at Folsom,Market at Sansome,65,134
Paseo de San Antonio,Market at 4th,1,1
Davis at Jackson,San Francisco City Hall,13,8
Grant at Columbus,Embarcadero at Folsom,239,51
Market at Battery,SF Caltrain at 330 Townsend,66,61
San Pedro Square,SJSU - San Salvador at 9th,30,0
Broadway at Main,Redwood City Public Library,3,0
Steuart at Market,Embarcadero at Vallejo,152,176
Howard at 2nd,Davis at Jackson,33,74
"SF Caltrain, Townsend at 4th ",Post at Kearney,123,122
Powell Street BART,Golden Gate at Polk,100,72
Beale at Market,Embarcadero at Sansome,241,182
Davis at Jackson,Howard at Beale,79,68
Golden Gate at Polk,SF Ferry Building,32,21
SJSU 4th at San Carlos,Santa Clara at Almaden,59,77
Embarcadero at Sansome,2nd at Townsend,233,283
Washington at Kearney,SF Ferry Building,95,80
Steuart at Market,Market at Sansome,85,203
San Jose Civic Center,Santa Clara at Almaden,15,20
5th at Howard,Townsend at 7th,104,96
Golden Gate at Polk,Howard at Beale,100,103
Mountain View City Hall,Mountain View City Hall,60,60
Grant at Columbus,5th at Howard,32,29
2nd at Townsend,Market at Sansome,258,233
San Jose Civic Center,Paseo de San Antonio,12,21
2nd at South Park,Powell Street BART,80,40
St James Park,Paseo de San Antonio,19,31
Clay at Battery,Embarcadero at Bryant,59,136
5th at Howard,Grant at Columbus,29,32
Washington at Kearney,Howard at 2nd,33,25
7th at Market,"SF Caltrain, Townsend at 4th ",221,140
"SF Caltrain, Townsend at 4th ","SF Caltrain, Townsend at 4th ",132,132
South Van Ness at Market,Embarcadero at Bryant,12,9
3rd at Howard,Market at Battery,36,49
Embarcadero at Sansome,Powell Street BART,192,167
San Salvador at 1st,San Salvador at 1st,60,60
Powell Street BART,Embarcadero at Vallejo,64,54
South Van Ness at Market,Market at Sansome,353,160
Washington at Kearney,5th at Howard,19,30
2nd at Townsend,Townsend at 7th,167,230
Japantown,SJSU - San Salvador at 9th,12,0
7th at Market,Powell at Post (Union Square),60,67
Davis at Jackson,South Van Ness at Market,18,20
Mountain View City Hall,San Antonio Caltrain Station,16,15
San Mateo County Center,Broadway at Main,17,13
Howard at Beale,Embarcadero at Bryant,85,55
Powell Street BART,Beale at Market,49,71
Townsend at 7th,Market at Sansome,102,91
"SF Caltrain, Townsend at 4th ",Commercial at Montgomery,157,176
Mountain View City Hall,Castro Street and El Camino Real,3,10
Grant at Columbus,Market at 10th,105,57
SF Ferry Building,San Francisco City Hall,54,46
"SF Caltrain, Townsend at 4th ",2nd at South Park,288,346
Howard at Beale,Market at 10th,129,52
University and Emerson,Cowper at University,46,110
Steuart at Market,South Van Ness at Market,48,94
Broadway at Main,Redwood City Medical Center,5,6
Embarcadero at Vallejo,SF Ferry Building,214,332
Embarcadero at Bryant,Market at 4th,34,56
Steuart at Market,Beale at Market,11,26
Broadway St at Battery St,SF Ferry Building,3,8
Grant at Columbus,Howard at 2nd,52,53
2nd at South Park,Townsend at 7th,161,67
Mezes Park,Redwood City Caltrain Station,1,3
Powell at Post (Union Square),"SF Caltrain, Townsend at 4th ",174,131
San Jose City Hall,Arena Green / SAP Center,2,6
2nd at South Park,Embarcadero at Vallejo,123,122
San Francisco City Hall,2nd at South Park,26,33
5th at Howard,5th at Howard,122,122
Steuart at Market,Washington at Kearney,33,48
Adobe on Almaden,San Salvador at 1st,4,4
Embarcadero at Folsom,Spear at Folsom,9,23
Golden Gate at Polk,2nd at Townsend,22,11
Post at Kearney,3rd at Howard,33,37
Clay at Battery,Howard at 2nd,90,66
Market at 10th,7th at Market,166,199
Park at Olive,San Antonio Shopping Center,3,2
Beale at Market,Grant at Columbus,63,120
San Francisco City Hall,3rd at Howard,15,20
MLK Library,Paseo de San Antonio,46,53
3rd at Howard,Spear at Folsom,93,130
Franklin at Maple,Mezes Park,2,0
SF Ferry Building,7th at Market,52,71
Market at Battery,Embarcadero at Bryant,90,128
Mountain View City Hall,Palo Alto Caltrain Station,1,0
Embarcadero at Folsom,Davis at Jackson,58,94
Market at Sansome,Golden Gate at Polk,37,63
Steuart at Market,Commercial at Montgomery,23,33
Washington at Kearney,Post at Kearney,37,186
Broadway St at Battery St,Beale at Market,7,6
2nd at Townsend,Redwood City Caltrain Station,1,0
California Ave Caltrain Station,Mountain View Caltrain,3,1
Commercial at Montgomery,Market at 4th,171,88
Howard at Beale,SF Caltrain at 330 Townsend,345,112
Market at Battery,Golden Gate at Polk,28,28
South Van Ness at Market,2nd at Folsom,31,22
2nd at South Park,Market at 4th,192,271
Spear at Folsom,San Francisco City Hall,10,17
Embarcadero at Bryant,Powell Street BART,24,19
Market at 4th,2nd at South Park,271,192
South Van Ness at Market,"SF Caltrain, Townsend at 4th ",245,153
Commercial at Montgomery,Powell Street BART,205,97
Market at 4th,Market at Battery,105,262
Embarcadero at Sansome,Spear at Folsom,171,132
Beale at Market,Spear at Folsom,155,83
Commercial at Montgomery,SF Caltrain at 330 Townsend,34,42
3rd at Howard,Powell at Post (Union Square),42,51
San Francisco City Hall,Steuart at Market,26,21
San Francisco City Hall,Market at Battery,16,31
SF Caltrain at 330 Townsend,San Francisco City Hall,24,49
SF Caltrain at 330 Townsend,Market at Battery,61,66
South Van Ness at Market,Post at Kearney,117,119
2nd at Townsend,Embarcadero at Folsom,190,221
Evelyn Park and Ride,Mountain View City Hall,12,12
Davis at Jackson,5th at Howard,15,12
Post at Kearney,Embarcadero at Vallejo,30,10
Howard at 2nd,Clay at Battery,66,90
Market at Sansome,Commercial at Montgomery,214,247
Broadway St at Battery St,Spear at Folsom,30,26
2nd at Folsom,Post at Kearney,94,81
Broadway St at Battery St,South Van Ness at Market,2,0
Powell at Post (Union Square),Howard at Beale,34,34
San Salvador at 1st,Arena Green / SAP Center,12,8
Powell at Post (Union Square),Post at Kearney,55,51
Beale at Market,Clay at Battery,30,52
SJSU - San Salvador at 9th,SJSU 4th at San Carlos,85,0
7th at Market,Davis at Jackson,14,13
Steuart at Market,Broadway St at Battery St,13,17
Howard at 2nd,SF Caltrain at 330 Townsend,197,150
University and Emerson,Rengstorff at California,2,5
Embarcadero at Bryant,Howard at Beale,55,85
Market at 4th,7th at Market,166,215
Redwood City Caltrain Station,Redwood City Medical Center,141,83
Mountain View Caltrain,Castro Street and El Camino Real,100,95
Market at Battery,Market at 4th,262,105
SJ Diridon Caltrain,San Jose Civic Center,74,81
Powell Street BART,SF Ferry Building,125,142
2nd at South Park,Embarcadero at Sansome,43,25
Market at Battery,Embarcadero at Vallejo,43,52
Mezes Park,Redwood City Medical Center,2,0
Clay at Battery,2nd at Folsom,53,107
Townsend at 7th,"SF Caltrain, Townsend at 4th ",1322,568
Grant at Columbus,Market at Sansome,492,224
Embarcadero at Sansome,Broadway St at Battery St,8,9
Broadway St at Battery St,2nd at South Park,9,1
Arena Green / SAP Center,SJ Diridon Caltrain,9,17
Davis at Jackson,Embarcadero at Sansome,236,177
3rd at Howard,Embarcadero at Bryant,48,54
Embarcadero at Bryant,2nd at Folsom,37,60
Howard at Beale,Embarcadero at Vallejo,169,94
Washington at Kearney,3rd at Howard,28,30
Post at Kearney,Howard at Beale,68,70
South Van Ness at Market,Powell Street BART,279,277
Davis at Jackson,SF Ferry Building,62,122
MLK Library,MLK Library,62,62
San Francisco City Hall,San Jose City Hall,1,0
Broadway St at Battery St,Market at 10th,3,0
Townsend at 7th,Embarcadero at Vallejo,44,28
MLK Library,Arena Green / SAP Center,8,2
Rengstorff at California,California Ave Caltrain Station,6,4
Washington at Kearney,Market at 4th,46,84
Embarcadero at Vallejo,San Francisco City Hall,16,10
2nd at Townsend,5th at Howard,38,24
San Antonio Shopping Center,California Ave Caltrain Station,5,1
Market at 4th,2nd at Townsend,123,92
Powell at Post (Union Square),2nd at South Park,97,82
Embarcadero at Folsom,5th at Howard,41,28
Broadway St at Battery St,Townsend at 7th,1,0
5th at Howard,Embarcadero at Bryant,19,31
Townsend at 7th,Commercial at Montgomery,8,13
San Francisco City Hall,SF Ferry Building,46,54
San Jose Civic Center,San Jose City Hall,18,24
Clay at Battery,Market at 10th,43,25
2nd at Townsend,Howard at 2nd,219,220
Embarcadero at Folsom,SF Ferry Building,96,54
South Van Ness at Market,2nd at Townsend,64,59
Spear at Folsom,Powell at Post (Union Square),42,40
"SF Caltrain, Townsend at 4th ",Powell at Post (Union Square),131,174
San Jose Government Center,Paseo de San Antonio,1,2
Embarcadero at Folsom,Post at Kearney,26,32